subroutine,scope,regsub,regsuball,ban,return,hash_data,call,new,rolback,synthetic,set,unset
*vcl_deliver*,client,x,,,,,,,,,,
*vcl_hash*,client,x,,,,x,,,,,,
*vcl_hit*,client,x,,,,,,,,,,
*vcl_miss*,client,x,,,,,,,,,,
*vcl_pass*,client,x,,,,,,,,,,
*vcl_pipe*,client,x,,,,,,,,,,
*vcl_purge*,client,x,,,,,,,,,,
*vcl_recv*,client,x,,,,,,,,,,
*vcl_synth*,client,x,,,,,,,,x,,
*vcl_backend_error*,backend,x,,,,,,,,x,,
*vcl_backend_fetch*,backend,x,,,,,,,,,,
*vcl_backend_response*,backend,x,,,,,,,,,,
*vcl_init*,vcl.load,x,,,,,,x,,,,
*vcl_fini*,vcl.discard,x,,,,,,,,,,
